0,1,2,3,4,5,6,7,8
1771440939.2966273,-200.89273071289062,189.82229614257812,238.5233154296875,0.0,-90.08720397949219,176.31890869140625,185.45277404785156,0.0
1771440939.3090935,-201.0537109375,189.99034118652344,238.65884399414062,0.0,-89.94754791259766,176.34393310546875,185.52700805664062,0.0
1771440939.3161166,-201.199462890625,190.1873016357422,238.8079833984375,0.0,-89.8208999633789,176.3455352783203,185.56832885742188,0.0
1771440939.3230352,-201.3857879638672,190.38404846191406,238.96279907226562,0.0,-89.67745971679688,176.32762145996094,185.5980224609375,0.0
1771440939.329675,-201.5653076171875,190.53408813476562,239.1612548828125,0.0,-89.55345916748047,176.31492614746094,185.61630249023438,0.0
1771440939.3440356,-201.72048950195312,190.69400024414062,239.33494567871094,0.0,-89.42546844482422,176.3131103515625,185.6739044189453,0.0
1771440939.3508863,-201.8787384033203,190.8717803955078,239.51119995117188,0.0,-89.32232666015625,176.30154418945312,185.70465087890625,0.0
1771440939.3599043,-202.0722198486328,191.08901977539062,239.7174072265625,0.0,-89.22781372070312,176.29052734375,185.74807739257812,0.0
1771440939.3665328,-202.2942352294922,191.3402099609375,239.95726013183594,0.0,-89.1248779296875,176.2787628173828,185.78189086914062,0.0
1771440939.3790312,-202.57774353027344,191.61297607421875,240.19898986816406,0.0,-89.08060455322266,176.30807495117188,185.8292236328125,0.0
1771440939.386315,-202.84776306152344,191.90089416503906,240.4573211669922,0.0,-89.08586120605469,176.3421173095703,185.8933868408203,0.0
1771440939.3969803,-203.17794799804688,192.18661499023438,240.69786071777344,0.0,-89.10298919677734,176.3755645751953,185.9438934326172,0.0
1771440939.4064682,-203.52821350097656,192.49954223632812,240.99661254882812,0.0,-89.11590576171875,176.4259490966797,186.06381225585938,0.0
1771440939.4151866,-203.80322265625,192.8153533935547,241.2806854248047,0.0,-89.13480377197266,176.4971466064453,186.20603942871094,0.0
1771440939.4198895,-204.038330078125,193.10235595703125,241.54989624023438,0.0,-89.13533020019531,176.54420471191406,186.3429718017578,0.0
1771440939.4273322,-204.21234130859375,193.38343811035156,241.74879455566406,0.0,-89.13795471191406,176.59445190429688,186.453369140625,0.0
