0,1,2,3,4,5,6,7,8
1772048800.164809,0.0,0.0,0.0,0.0,64.58042907714844,286.5868225097656,70.49324035644531,0.1774209886789322
1772048800.164809,0.0,0.0,0.0,0.0,63.56672668457031,284.970947265625,70.24237823486328,0.1275038868188858
1772048800.1739798,0.0,0.0,0.0,0.0,63.56672668457031,284.970947265625,70.24237823486328,0.1275038868188858
1772048800.1806636,0.0,0.0,0.0,0.0,63.56672668457031,284.970947265625,70.24237823486328,0.1275038868188858
1772048800.1955132,0.0,0.0,0.0,0.0,63.08263397216797,284.2067565917969,70.16490936279297,0.128859743475914
1772048800.196953,0.0,0.0,0.0,0.0,62.172454833984375,282.47369384765625,70.00953674316406,0.07679727673530579
1772048800.1991637,0.0,0.0,0.0,0.0,62.172454833984375,282.47369384765625,70.00953674316406,0.07679727673530579
1772048800.2062674,0.0,0.0,0.0,0.0,62.172454833984375,282.47369384765625,70.00953674316406,0.07679727673530579
1772048800.2226696,0.0,0.0,0.0,0.0,61.82421875,281.4887390136719,69.97148895263672,0.06837068498134613
1772048800.2329147,0.0,0.0,0.0,0.0,61.82421875,281.4887390136719,69.97148895263672,0.06837068498134613
1772048800.240566,0.0,0.0,0.0,0.0,61.56388473510742,280.49432373046875,70.04574584960938,0.04686783626675606
1772048800.2415714,0.0,0.0,0.0,0.0,61.435794830322266,279.6540832519531,70.11869049072266,0.020779458805918694
1772048800.2465472,0.0,0.0,0.0,0.0,61.378578186035156,278.78656005859375,70.12055969238281,0.008394951932132244
1772048800.2488933,0.0,0.0,0.0,0.0,61.378578186035156,278.78656005859375,70.12055969238281,0.008394951932132244
1772048800.2574575,0.0,0.0,0.0,0.0,61.378578186035156,278.78656005859375,70.12055969238281,0.008394951932132244
1772048800.2682006,0.0,0.0,0.0,0.0,61.378578186035156,278.78656005859375,70.12055969238281,0.008394951932132244
1772048800.2788155,0.0,0.0,0.0,0.0,61.42543029785156,277.98529052734375,70.06256866455078,0.0
1772048800.2812161,0.0,0.0,0.0,0.0,61.80813217163086,276.4490966796875,69.84774780273438,0.0
1772048800.2843978,0.0,0.0,0.0,0.0,61.80813217163086,276.4490966796875,69.84774780273438,0.0
1772048800.2914014,0.0,0.0,0.0,0.0,61.80813217163086,276.4490966796875,69.84774780273438,0.0
1772048800.3024726,0.0,0.0,0.0,0.0,61.80813217163086,276.4490966796875,69.84774780273438,0.0
1772048800.3228784,0.0,0.0,0.0,0.0,62.54130935668945,274.8683776855469,69.59705352783203,0.006219144910573959
1772048800.3281815,0.0,0.0,0.0,0.0,62.54130935668945,274.8683776855469,69.59705352783203,0.006219144910573959
1772048800.3347626,0.0,0.0,0.0,0.0,62.54130935668945,274.8683776855469,69.59705352783203,0.006219144910573959
1772048800.3463063,0.0,0.0,0.0,0.0,62.54130935668945,274.8683776855469,69.59705352783203,0.006219144910573959
1772048800.350792,0.0,0.0,0.0,0.0,63.50716018676758,273.51165771484375,69.64356994628906,0.0
1772048800.3568566,0.0,0.0,0.0,0.0,63.50716018676758,273.51165771484375,69.64356994628906,0.0
1772048800.362457,0.0,0.0,0.0,0.0,63.50716018676758,273.51165771484375,69.64356994628906,0.0
1772048800.3723795,0.0,0.0,0.0,0.0,63.98442840576172,273.0301818847656,69.75389099121094,0.0014033725019544363
1772048800.37438,0.0,0.0,0.0,0.0,63.98442840576172,273.0301818847656,69.75389099121094,0.0014033725019544363
1772048800.3803768,0.0,0.0,0.0,0.0,64.40753936767578,272.7396240234375,69.82191467285156,0.0072118318639695644
1772048800.3829808,0.0,0.0,0.0,0.0,64.40753936767578,272.7396240234375,69.82191467285156,0.0072118318639695644
